,Methods,SOD,SDD,Rotating Angles,Entropy,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Nelder-Mead,50567.0,1065.0152761229522,"[ 351.09052679 -108.97296799  197.34668413   38.43126622  122.53473187
  -28.34549742  -54.02519985   35.51365556    4.57278859   92.76804698
   -5.15201889   13.10860598    7.95368656   27.29319856  -16.11037253
 -361.40057755   -6.68697607   55.43000671    2.57957802  -18.08383398
   44.09710902 -718.26244919]",0.00106697697201319,0.2944537250565563,139.231185037342,147.75403448657383,0.6086161614663477,0.002422556394927946,33.23390793800354
1,Nelder-Mead,-55330.0,-1149.126310010958,"[-345.54569882   16.29584721   57.95041452  356.55820109  -29.71809788
    1.70641598   15.86399117  -91.51035756 -715.12131405   33.16041199
  -35.9195846   -15.80094806   81.66153718  -59.9885661   145.83072788
   90.73732798  113.05268337   30.27873978  -34.95145115   17.07565154
   99.20782357   -8.35044684]",0.001577540845184154,0.2944537128426435,139.23118501377758,147.75403449199,0.6086161612605453,0.001861330839551657,33.286417961120605
2,Nelder-Mead,-645369.0,-10485.744513092279,"[   21.47165771    65.30715124   -17.09511092  -432.68159599
 -1609.67292755   -74.97737467    16.58714437    91.15715759
    41.71623809    18.44946728   -74.99940344   -55.01068979
   269.28799884    -1.8513445    -21.70555844   296.79901455
   -53.83865084   -76.13091259   -44.95232348   -40.86529618
    43.16012327  -109.50785376]",0.00053221738679597,0.29445371292502037,139.23118484106575,147.75403433019838,0.6086161604722541,0.0017805097366241016,34.44863414764404
3,Nelder-Mead,2998.0,51.31457213928553,"[  46.80138363  173.6005946    17.77669596  502.93991347  123.07361429
    6.33611584   51.58382107  186.31265617   85.4349379    54.83107685
 -143.89199496   77.09297    -175.71664467  169.04818786    5.21174671
  -40.66783002  628.3049085  -220.72785411   -1.9460079   169.78168997
 -160.71760831 -100.18258389]",0.0009600251296179995,0.2944537382823126,139.23118488817514,147.7540343923175,0.608616160623675,0.0008029829392825756,32.975688219070435
4,Nelder-Mead,56.0,10.932647829085056,"[-4.26381259e+00 -1.60730657e+01 -5.97848255e-01 -3.17379721e+01
 -8.72956058e+00  3.57445074e-03  4.78192723e+00 -3.61272557e+01
  1.47197112e+00 -1.95097490e+01 -6.95892277e+00 -2.03231255e+00
 -8.46039079e+00 -5.40042602e+00 -1.11456316e+01 -4.43640349e+00
 -9.89857107e-01 -2.26711281e+01  2.31586254e+00 -2.18634793e+01
  6.01211452e+00 -1.71640753e+01]",0.154341226950055,0.2944541595237195,139.23121853009798,147.7540609685857,0.6086163359834365,0.035709816937000066,38.44626259803772
5,Nelder-Mead,154050.0,2114.0985690948046,"[-182.43751807 -149.19237549 -478.45330612   54.90438034  -35.49693774
   36.21470013   16.98360483   47.44397822 -190.73666618  138.54405946
   46.4374174    32.07333822  -69.33717349   53.78727463   -1.32691209
  158.35439722  368.65990117   -6.53675077    4.53977381  -64.17779819
    4.7124163  -232.70942642]",0.000716840216251722,0.2944537199334666,139.231184836186,147.75403433138533,0.6086161604296674,0.001972269364062542,35.397435665130615
6,Nelder-Mead,434210.0,5811.067443766569,"[-5.07800677e+01 -1.01438599e+02  1.04622598e+01  2.12767549e+02
  1.99807187e+02  7.83091231e-01  9.00234637e+00  1.14105321e+02
 -2.20606381e+01 -1.04078706e+03 -8.37451164e+01 -4.26885895e+01
 -1.77708603e+02  1.94718832e+02  6.15912163e-01  5.33792560e+02
  1.67771884e+02  2.43141099e+02 -6.80363610e+01  2.81647749e+01
  8.49708438e+01  5.24625371e+01]",0.00039852734469561073,0.2944537125791264,139.23118480128082,147.75403430043934,0.6086161602641954,0.0015510959938689203,33.625526428222656
7,Nelder-Mead,92472.0,1512.4983153861588,"[ 660.58108447  134.48041481   85.83574082  392.13914476   17.70259792
  -27.99038271  212.52788149  -69.53805634 -212.38226618  -58.25119702
    0.89104088   -1.99324705  -69.87240527  175.15375939  -54.64823619
   18.71482454 -162.42361643 -127.94189329   -6.53400173  261.12057168
   11.40191455  162.11962515]",0.0005347605183063866,0.2944536936386309,139.23118484848723,147.754034345526,0.6086161604754207,0.0013054340398593555,34.330613136291504
8,Nelder-Mead,-197295.0,-2765.267297682257,"[ 2.23926790e+01  9.51120612e+01 -1.22679281e+02  2.85519508e+01
 -6.12199427e+02 -7.17304816e+00  5.14743490e+00 -2.02782704e+01
 -8.53053403e+01  9.36783809e+00 -6.28255333e+00  2.27677650e+02
  2.29945501e+02  1.70156415e+01  1.11997270e-01  5.46705590e+02
  1.31828276e+02 -5.64487667e+01 -2.74359294e+01  5.57804563e+02
 -2.40273610e+01 -2.38291733e+02]",0.00024064234870618497,0.2944537031744968,139.2311847990204,147.75403429940738,0.6086161602493184,0.0012225068535062506,31.58864450454712
9,Nelder-Mead,432416.0,6680.548498813187,"[-6.94189958e+01  1.59049834e+02  1.26846491e+01  3.00304572e+01
 -5.07708961e+02 -3.84166171e+01  6.74220401e+01 -1.45670061e+02
 -5.81704631e+01  6.51240367e+01  1.10367151e-01 -1.13705679e+02
  1.73698452e+02  8.53633196e+01  4.75485203e+01  1.70653702e+02
  1.23535625e+01  1.98236537e+01 -1.02339353e+01  6.85126317e+02
 -8.19449497e+02  1.45664964e+02]",0.0008237921426263939,0.2944537173707356,139.23118485236773,147.75403433782216,0.6086161605355478,0.0023356757381871873,33.568644285202026
10,Nelder-Mead,4563289.0,59629.270846683736,"[ 3.62411529e+01  1.35730748e+01  4.18816501e+01 -1.40692975e+02
  4.80369778e+02  1.20474163e+00  1.07690249e+02 -3.02389676e+02
 -3.48027454e+00  3.36302902e+02 -2.09346054e+01  1.89198644e+02
 -7.88520494e+01 -3.52384026e+01 -3.82525502e+01  1.50730067e+03
 -1.79537133e+02 -5.93209590e+02 -8.85519974e+01 -9.41153124e+01
  1.09802134e+02  5.36839967e+02]",0.0004988201413806126,0.2944537127907531,139.23118477864773,147.7540342833976,0.6086161601456429,0.0018637691953224294,29.865866661071777
11,Nelder-Mead,921038.0,15020.180022199078,"[   2.75232206   -3.6221589   -39.01424528   70.37068441  -99.61643728
  -52.95909812   -4.82928563   20.725466     20.44848464  170.06972251
  -23.44699534  -12.78573507    5.96307127  335.19341698 -129.17624095
    2.8115943   635.41737381  -14.99939749   34.57180854  116.91913234
   -7.28354167   27.69262244]",0.0006815129451981106,0.29445371750641125,139.23118484228812,147.7540343390079,0.6086161604499019,0.0014835865769916572,33.35245084762573
12,Nelder-Mead,64.0,11.947710090200435,"[ -2.945252   -15.22915204 -17.40454486 -23.75636277  -1.09089073
  -1.31802687  -4.43711378 -15.57758616 -41.37096921   0.46125887
  -3.83535293 -20.86550421 -12.9033511  -38.79438334  -0.0454509
  28.60168465  -3.23864107  -1.01965381  -0.35704282  -7.13035455
   0.68005952  13.9092152 ]",0.12905477808854074,0.2944540396776601,139.2312150740278,147.7540590742684,0.6086163136792645,0.02708058230111397,38.50092911720276
13,Nelder-Mead,66642.0,1140.8104870347925,"[-9.95606960e+01  2.56890362e+01 -1.68815756e+02  6.66575235e+01
  3.14497172e+02 -5.20457128e+01  6.59052146e+01  1.65631316e+02
 -8.31253827e+01 -1.36653716e+03  1.46681061e+01  8.07731095e+02
 -4.09241132e+02  1.13176367e+01  9.93627641e-01  1.61534364e+01
  2.30441131e+01 -2.59441692e+01 -9.36190201e+00 -4.89589318e+01
  7.33875442e+01  3.06827459e+02]",0.0012783374133192383,0.2944536937457547,139.23118487450606,147.75403438232004,0.6086161605527299,0.0008475674757613671,29.45414090156555
14,Nelder-Mead,-9966.0,-224.87376244878465,"[ 105.78059567  -96.04735798 -293.00238605  -86.73248276  -17.17504169
    5.0008667   -40.0796629    28.12966387   -1.53270368  105.74429451
  104.2451245   -22.28880571 -118.96045944    0.92390614  -44.32552045
  -17.32430179  140.46170055   49.55327884   -1.67856128   35.08353014
  570.86268324   18.85483347]",0.0010669769720131899,0.2944537501322987,139.23118512627357,147.75403456637142,0.6086161618868898,0.0017207630927765867,29.429221391677856
15,CG,284.0,306.27344110744554,"[-14.08527394  11.7753323  -10.41301973  -9.8531078   -5.85635027
   2.10152136  -3.17703748  -2.536276    -2.821942   -10.38363748
   3.20393855  -7.38256129  -1.66632378  -0.63596274   1.54658993
  -8.73801362  -1.0921786   -4.454268     0.17446535  -5.08721868
 -10.981681   -12.91899653]",3.165945628329169,0.29445124091442954,139.2321061483526,147.7545948033001,0.6086218808672804,0.5060122264351689,6.842325448989868
16,CG,307.0,412.18859937850647,"[-15.58225405  14.76132618 -15.55087236  -7.07708024 -15.9966532
  -0.44510323  -1.31942856  -9.80680168 -13.6811861   -3.6279837
  -1.71552828  -5.98979916  -6.92966007  -7.79966342  -4.18410965
 -13.67944602 -14.71951025 -16.69342871   3.5175327   -1.49000244
 -12.04385892  -4.46253469]",4.293729171012886,0.29445309190540775,139.2326117612247,147.75502992155518,0.6086245028203197,0.4611279888746762,10.960446119308472
17,CG,585.0,695.5578750358401,"[ -7.80941576  -3.77542886  -9.06973478  -8.18628961  19.14117678
  -4.86180047  -2.42271463 -19.92916886 -17.58527     -5.71670888
  -3.99806146 -11.72329541  -9.58697968  -2.26097678   4.73336406
 -10.22312353  -4.02687531 -10.53930892   4.49736624  -8.56806778
 -11.77332464  -3.29999946]",3.8151971290556483,0.29445540603641895,139.2323133130461,147.7547535779219,0.6086230117696393,0.5228182015688884,121.58046555519104
18,CG,27.0,35.105555995934864,"[ -3.40928418 -19.47464397   1.93761727 -14.67624039  11.73208976
  -1.92763811   2.29014614 -12.58076383  -5.98897458 -13.82737249
  -3.85861989  -5.40816789 -18.21744418  -6.33861948   1.71963096
  -2.50565588 -18.17415413 -18.09485794  -4.90297467  -4.25494033
 -10.66016144 -11.61023252]",4.0600577531085165,0.29445007192887396,139.2323769905488,147.7549605723309,0.6086226743134188,0.3178771101331429,13.372284173965454
19,CG,129.0,165.92709680044052,"[-18.80817705   8.93019195  -5.25307079 -13.14912679 -19.52896112
   0.04636354  -2.17690457 -18.54221832 -18.50010124 -10.13681558
  -4.49305665 -16.71893681  -6.93832876 -14.26715288  -3.74219644
 -17.82573353  -3.70039202 -19.19515221   3.91420703 -11.4465816
  -2.8161791   -3.82994954]",4.209215662519046,0.2944511900904373,139.2324945917062,147.75498727831612,0.6086235706339597,0.4142705662157213,3.021124839782715
20,CG,204.0,226.14505241684023,"[ 15.07312451  16.97646923 -14.43822295 -13.82398204  10.26722607
  -3.15929202  -4.43847951  -9.28045626 -19.19746642  -6.73625112
   3.28706361  -0.67477841  -8.06392972 -17.86600931   0.11432782
  -3.48186936 -17.84479782 -13.43008729  -0.38518919 -10.54925693
  -1.57713013  -9.25887311]",3.205017504115368,0.294447398306288,139.23217830027957,147.7548504707961,0.6086213913511219,0.19875140197365887,10.074105739593506
21,CG,166.0,185.03799195960312,"[ -8.46972457   6.55885073  -7.574554   -18.52658243  -9.71078263
  -2.4130736    0.58372203 -19.31579343  -1.42400225 -10.58816296
   4.58294892  -6.07268527  -7.95418684 -19.76374258   1.55095239
 -10.45507019 -12.54201484 -13.79967497   3.4518144   -8.77719308
  -4.59978281  -7.25956138]",3.3715633424113696,0.2944512821824891,139.23217999776048,147.7546897834505,0.6086221555284371,0.447095667271204,41.78077459335327
22,CG,135.0,140.012721714778,"[-17.67578309 -16.267488    -8.72880706 -15.44538933   4.39344574
   2.81972179   4.16932563 -10.12983114 -15.29026494 -13.10590211
   0.25861415 -14.00519914  -6.3155528  -18.82136925  -2.2553273
  -1.84367232 -13.23458835 -12.44766289   4.46917632  -6.54070919
 -10.5357725   -5.60563683]",3.0301701030536234,0.29445352282933357,139.2320541891871,147.75453110793552,0.6086216814027986,0.529783055557151,11.513972043991089
23,CG,828.0,792.6993416075102,"[ -1.64838332   6.98432976   5.96597891 -18.27164457  -9.94276516
  -0.11960073  -1.5025214   -7.01507162  -8.4941879   -1.68221142
  -0.77918352 -14.43818029 -12.65314935  -1.45017673   1.15653461
  -8.48471736 -13.45476148  -5.98053083   1.61834871 -18.3894665
  -5.74343837 -11.70332063]",2.681769898624918,0.2944531199525152,139.23192564327232,147.75447759625837,0.608620776236243,0.47140673521130516,101.59820294380188
24,CG,717.0,830.626247505642,"[-10.45181903 -17.14488978 -13.21256966  -2.60264211  13.40634746
   1.73764117   3.91188784  -8.32805035 -16.58639521  -7.84086634
  -0.05575468  -8.88895622 -11.20286476 -13.43484755   2.96737562
 -14.95395346  -3.1827272   -0.48919803   1.22645572 -19.09159512
  -7.77688686 -13.27425891]",3.6335249269059418,0.2944530950540601,139.23226784097884,147.754680442795,0.6086229179511616,0.5540011700092514,140.17479801177979
25,CG,895.0,946.3613716408572,"[ -7.74482717  -3.92557458  -1.85496422  -9.31429026 -15.5986221
   0.35306128  -4.80273621 -16.45586736  -1.85731637 -19.57492259
   1.99296251 -17.3439762  -13.20717563  -8.87611558  -1.94219446
 -18.77600329 -13.62291747  -9.42705505  -3.92929568  -8.92417168
  -5.80486198  -5.95173815]",3.1884256916647384,0.2944509982382476,139.23209598082272,147.75458176549284,0.608621864250029,0.5158575909906161,134.49168920516968
26,CG,286.0,362.0129537287229,"[  1.81088512  -0.81796588 -14.09656033 -16.41156373  17.00166583
  -2.50176657   2.19017881 -19.44334017  -0.44087128  -9.09287078
   3.10555482  -1.12696375  -7.96353823 -18.40952396  -3.09545707
  -0.23124552 -10.05714408  -2.32560025  -1.60169249 -15.47659286
 -13.44433511 -15.67257012]",4.066540969512272,0.294445408866675,139.23241940979884,147.7550315304434,0.6086227868887278,0.26632854561814334,2.954901933670044
