,SOD,SOD Error,SDD,SDD Error,Rotating Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,555,455,792.635864045123,652.635864045123,"[ -2.9806209   16.772037     0.64292793 -11.64578898  -3.41013737
  -0.38457681   0.12546195 -12.69845359  -8.70817956  -8.75263642
  -2.93440634  -3.04552134 -13.79934397  -7.52136658   1.09882384
 -12.99616302 -14.91235976 -15.06036959  -1.05232331  -5.32029729
 -11.31981201 -16.38350471]",0.999986700567783,0.00028521546887,0.000943239126433,3.56532715623678E-06,0.84060324241888,162.727381467819
1,273,173,373.133332610355,233.133332610355,"[  1.69911245  13.09025678   6.45460296 -11.2002924    0.37432379
  -1.5467941    0.75768207  -5.92882974 -12.96474488  -6.99890288
  -0.51257301  -7.11593896  -9.26564569 -11.65178665  -1.56987116
  -7.39189623 -10.33081767  -9.43449862   0.61525781 -12.10868036
 -14.1977885   -8.93317101]",0.999987172160414,0.000281937944237,0.000875329890762,3.52436257074726E-06,0.854900214550429,144.864939451218
2,561,461,774.567055825236,634.567055825236,"[ -0.78722214  13.56347268  -4.35737588  -8.53317429  -3.81016861
   0.28746379   0.32408651 -12.35024483 -10.69414306 -17.46735466
  -4.05420665  -9.61279443 -12.90049141  -8.90511016   1.02634189
 -13.06292871  -9.12009169  -8.20723784  -2.03704697  -8.6646081
  -6.99862607  -9.11307807]",0.999985594955077,0.000320794600864,0.00099890692595,4.01008374586537E-06,0.813838803868844,151.821561813355
3,348,248,462.309727514466,322.309727514466,"[  1.14539667  12.66966845 -11.9560584  -11.00230459   2.29256898
   0.11217024  -1.42431894  -6.90170341 -18.62996606  -4.2781174
  -2.68854364 -11.15317233  -7.95168508 -10.84253264  -3.76863069
 -11.37844328  -4.18080768  -5.15069911  -4.00952709  -7.44204691
  -7.41193864  -7.16829172]",0.999985702126412,0.000302552378141,0.000963109500649,3.7820642840298E-06,0.823148539782822,131.940583705902
4,388,288,515.786872142167,375.786872142167,"[  0.68815579  16.96095459  -1.97363466  -8.86561914   9.27881157
   0.68485375  -1.26121364  -7.92898102 -13.23637911  -8.80255384
   3.1259353  -13.44788985 -13.90673695 -13.32602644   0.63495112
 -13.65612269  -6.420754    -7.23840454   1.32773124 -12.22182757
 -15.64433369 -10.95163166]",0.999987064420872,0.00027604801451,0.000901583363784,3.45073754468164E-06,0.845002398589246,129.87961435318
5,623,523,847.865334036898,707.865334036898,"[  3.14524144  11.61090234   5.84074837 -13.63037279  -1.70436458
   1.26813381   4.2545965   -1.25651729  -7.72515125 -11.26256368
  -2.76064851  -5.86239657  -1.13840972 -13.79885813  -0.97389135
 -11.27291768  -5.92874726 -12.13814894   1.9291384  -16.50154276
 -14.49193687 -15.61471245]",0.999985926305745,0.000339350119854,0.00102104800808,4.24203622694393E-06,0.802250617512852,133.373826503754
6,343,243,435.561071364939,295.561071364939,"[ -2.22676739  16.20036837   2.46934219 -11.80277158  -3.6675713
  -3.77415228   0.26209787 -16.85426752  -9.30778719  -8.40365344
  -1.52315219  -6.40557641  -5.05168097  -9.92882004  -3.94985643
 -17.12247433 -10.96344684  -6.66118586  -3.9144853  -10.04287994
 -11.12910852  -3.89019097]",0.999985572162873,0.000320255979508,0.001179382701001,4.00342759357417E-06,0.726336295065352,132.507390975952
7,266,166,360.60142610702,220.60142610702,"[ -0.14687002  15.80463775  -4.5455625  -13.64807345  -5.69538828
   1.24774753   4.73567937  -8.97529217 -15.81617606  -9.26622516
   0.79686277 -10.9631487  -12.94614399  -8.61700719  -2.31258309
 -10.47421435 -10.81318395 -16.44298677  -1.68357711 -10.6120304
 -12.75010291  -5.06963634]",0.99998770170874,0.000244556175959,0.000784527230251,3.05707127485773E-06,0.884010072063988,130.930769443512
8,267,167,357.857757514759,217.857757514759,"[  0.87766218  17.35267195  -3.92790019  -1.27315206   7.35004882
  -1.01181016   0.6053878  -13.76160559  -4.58319165 -19.05432121
   1.57292758  -4.7659092   -5.16253491 -16.45560046  -3.97904063
  -6.93342679  -3.06516308  -4.49150777  -0.12588833  -2.93877303
 -18.8955077  -11.67207091]",0.999987352684491,0.000256708677625,0.000927688657341,3.20899118643374E-06,0.836891910268248,133.833118438721
9,358,258,490.275085386261,350.27508538626,"[ -4.70880781  18.2806473    0.91563776  -8.02903648   8.29069944
  -3.51690913   1.60348124 -12.51937114 -16.39175585 -10.74808377
  -0.19349684  -8.43541944 -11.60054155  -8.17935107   1.06999982
  -7.81603789 -11.77177353 -17.55774464   0.58270622 -14.64914079
  -8.8701925   -6.17373233]",0.999985969629837,0.000294437298888,0.001078890936233,3.68064626571062E-06,0.782665971027452,132.056523084641
10,376,276,537.214565556099,397.214565556098,"[ -4.01028002  11.17047689   7.93170692  -6.35041288   1.4853638
   0.7642228    1.15587734  -7.26383491  -8.0817358  -10.59513523
   0.32264017  -9.44821103 -14.60559631  -5.78638774   1.60759978
  -6.52561409 -12.09651109 -11.71053004   1.28217947 -12.8987252
  -9.42337454 -11.11799951]",0.999985221945002,0.000373616319848,0.001171406843806,4.67038164165323E-06,0.749071809390328,137.244301795959
11,555,455,774.574522429141,634.574522429141,"[ -1.28736398  12.50515157   8.57210823 -10.66165937  -1.76553779
  -1.27483388  -0.16526188 -13.58857938 -10.98345788 -13.46464863
   0.07511356 -10.69784365  -7.54067706 -12.04494276  -0.98580673
  -9.45182862  -7.87269921  -9.00114197   0.9962745   -9.53932737
 -10.85937095  -6.35541212]",0.999985834100407,0.000314476110766,0.000986863380688,3.93110185920439E-06,0.819689778105079,134.001639604568
12,286,186,409.049709219018,269.049709219018,"[  0.23727474  19.6736107    8.65232192  -4.85000524   9.75847598
   1.89579495  -2.72951835  -8.49475811 -12.72621674  -3.62100105
  -0.16599379 -10.5870555   -4.25950152 -10.18504739   4.11031208
 -14.37587089  -5.62981825  -4.5319984    2.80734952  -6.35756181
 -15.23196284  -5.21284645]",0.999990512003461,0.000215451142544,0.000741651017376,2.69322206369652E-06,0.902445660182638,141.092603445053
13,63,37,84.9443703937537,55.0556296062463,"[  2.41315964  15.60654906   2.7893801   -7.75995925  15.66897066
   2.81337985  -2.83124983  -6.81393045 -18.88108431 -11.81917961
  -2.71677973 -10.0490494  -12.90717875 -17.17723468  -4.60102711
 -13.76712748  -1.1548978   -9.33335625  -3.51717806  -6.73243246
 -19.7532514   -5.92617061]",0.999988262739911,0.000235240667179,0.00084017726098,2.9406609133261E-06,0.86417787166264,141.894905567169
14,491,391,692.940418323645,552.940418323645,"[  2.07606715   8.46787699  13.93107902  -8.41663479  -5.48798
   1.54611207  -0.04892063  -4.27663771 -11.27993502  -8.93129148
  -3.88998657  -8.65359984  -7.18838488  -6.06027674  -3.45019554
  -4.64226642  -6.41081541  -5.37386032   0.84529435  -4.06385495
 -13.91453605 -15.7985573 ]",0.999986166531954,0.000334467454296,0.001006726986518,4.18100475257059E-06,0.813997589683824,147.194888830185
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,0.999986716936199,0.000293007223539,0.000961368788657,3.66274127196879E-06,0.823935384944842,139.024269898733
,,,,,,1.37825802227532E-06,4.30290655655843E-05,0.00012530387185,5.37885098845698E-07,0.046876352419221,9.32200592534945
