,SOD,SOD Error,SDD,SDD Error,Rotating Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,54,46,69,71,"[-20.  15.  -8. -12.  19.   5.   2.  -3.  -6.  -3.   5. -20.  -3.  -2.
  -4. -10. -14.  -1.  -1. -17.   0.  -9.]",0.999983861228358,0.000571334456456,0.00170017128195,7.14201165114368E-06,0.41842489206632,160.527690887451
1,801,701,901,761,"[ -7.   5.  11. -18.   2.  -1.  -2. -10. -20.   0.  -4.  -7. -12. -10.
   2. -18.  -4.  -6.   3. -19. -11. -16.]",0.999983812508445,0.000508898086587,0.001616632783535,6.36157819282658E-06,0.433478933719234,164.76896572113
2,325,225,461,321,"[-18.  -2.   6. -16. -16.  -5.   2. -10.  -3. -13.   4. -19. -16. -14.
   2. -13. -10.   0.  -2. -15. -17.  -6.]",0.999982896320783,0.000671938530609,0.001827833274122,8.39954842572468E-06,0.368229994079587,147.636966466904
3,758,658,882,742,"[-11.   3.   3.  -3.  -6.   5.   1. -14. -17.  -1.  -1. -20.  -5. -14.
  -5. -19. -19. -11.   2. -10. -18.  -4.]",0.999983664098443,0.000531795011031,0.001661164654624,6.64778888578058E-06,0.410283101938165,167.38593173027
4,581,481,749,609,"[-11.  -2.  -3. -10. -10.   5.  -3.  -3. -14.   0.   1. -10.  -4. -13.
  -3. -11. -10. -20.   0.  -5.  -8. -10.]",0.999983008381815,0.000546026709748,0.001624110518429,6.82564194122524E-06,0.465785759186468,152.854984760284
5,132,32,188,48,"[-13.  -7.  -3. -15.  14.  -4.   3.  -6.   0.  -7.   5. -20.  -1.  -2.
  -4. -11.  -2.   0.   4.  -2. -14. -13.]",0.99998245448483,0.000619076040392,0.001706673700734,7.73874253190388E-06,0.440559928273157,160.569413661957
6,124,24,132,8,"[-13. -13.  -1. -12.   8.   4.   0. -20.  -5. -17.   2.  -5. -19.  -8.
   3.  -3.  -8.  -1.   4. -11.  -7.  -1.]",0.999983049849787,0.000582957058214,0.001782899720968,7.28736521061185E-06,0.25999130889647,146.356766462326
7,454,354,496,356,"[ -8. -17.   6.  -7. -17.   1.   2. -15. -13. -11.  -2.  -4.  -1.  -4.
   0. -17. -12.  -6.  -4. -16.  -6. -16.]",0.999983523737986,0.000559325135934,0.001724425819114,6.99194229811443E-06,0.324858265170649,162.663591146469
8,884,784,980,840,"[  8.   7.   0.  -5.  -7.   0.   1.  -2.  -2.   0.   2. -19.  -8.  -6.
  -3.  -5. -14. -19.   3.   0.   0. -11.]",0.999983236552822,0.000508087638688,0.001573071828727,6.35143131851887E-06,0.462131434647234,153.491767168045
9,518,418,672,532,"[ 15. -14.  -1. -19.   5.  -3.   3.  -3. -13.  -7.  -1. -19. -13. -20.
  -2. -20. -11. -15.   4.  -9. -19.  -3.]",0.999982583512458,0.000527582144261,0.001517260773375,6.59506338436956E-06,0.529728427250146,172.656847953796
10,628,528,753,613,"[  9. -14.  -7. -18.   3.  -3.   2.   0. -17.  -2.   4. -13. -20. -12.
   3.  -6. -18. -13.  -1. -13. -18.  -8.]",0.999982339250371,0.000512178841745,0.001463126678977,6.40253289020075E-06,0.545388001620691,161.937239646912
11,853,753,998,858,"[  1.  11. -19. -12.   8.  -5.  -3. -15.  -9.  -8.  -2. -18. -18. -20.
  -2.  -1. -17. -20.  -1. -15.  -1.  -6.]",0.999981899391096,0.000482416388372,0.001511801124107,6.03053028824594E-06,0.530058183028048,168.916153669357
12,364,264,509,369,"[  4. -16. -16.  -7.  16.  -1.   1.  -2. -17. -16.  -3. -20.  -5. -10.
  -5.  -6.  -5. -11.   1. -14.  -2. -17.]",0.999984024801387,0.000475024067176,0.001319229574687,5.93801629944787E-06,0.667303938928713,161.872065782547
13,776,676,826,686,"[ 16.  -9.  10.  -2.  -3.   5.  -5.   0. -15.  -4.   5. -16. -18.  -9.
  -1.  -6.  -8.   0.   0.  -5.  -6.  -3.]",0.999983841419064,0.000532902835403,0.001672789533492,6.66166222615121E-06,0.368871522765825,176.321769475937
14,206,106,222,82,"[ 17.   0. -18. -12.  -2.   5.   2.   0.   0. -13.   3. -11.  -8.  -1.
   1. -13.  -9. -16.   2. -19. -11. -17.]",0.999983133977478,0.00048739426226,0.001530411124791,6.09276243715723E-06,0.48453047524126,163.472697734833
,,,,,,,,,,,
,,,,,,0.999983155301008,0.000541129147125,0.001615440159442,6.76444119876149E-06,0.447308277787464,161.428856817881
,,,,,,6.3918647512962E-07,5.35959471836364E-05,0.000132647754348,6.69958377632709E-07,0.099475137883497,8.50281306918395
