,SOD,SOD Error,SDD,SDD Error,Rotating Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,355,255,447.320026078154,307.320026078154,"[ -1.66152875   9.41276463  -0.80361165 -13.13675836   9.64825752
  -0.2158755   -0.61389896 -12.4803732  -14.23448439 -12.21197976
  -0.64667619  -7.5523731   -9.53307415  -8.86218833  -0.51774876
 -11.54871147  -6.59341304 -13.83848978  -0.01708238  -7.84270934
 -11.82384674  -9.61189197]",0.999983217535592,0.000410787906731,0.001294159815669,5.13510009139657E-06,0.66211439036173,175.900748729706
1,377,277,479.243557046338,339.243557046338,"[  2.05133089   8.29787197  -3.21491602 -10.12324659  -6.48813736
  -0.10074363  -0.79613576  -8.62058434 -13.29603555  -5.64154265
  -1.10603686 -10.5144367  -10.87539904  -8.21671163   0.01567115
  -7.486576    -5.74078656 -12.01564997  -1.83278575  -7.71705008
 -11.12292067  -8.97302647]",0.999983652223277,0.000407178397937,0.001209510628149,5.0899547239372E-06,0.707774346069217,159.754968166351
2,455,355,575.265060228318,435.265060228318,"[  5.24344449   7.58300782   5.9830458   -9.5661935   -2.99599682
   0.22010516  -1.904387    -7.87981337 -10.42937602 -11.9758113
   0.3589601  -10.08835785  -8.7901959  -11.46605706  -0.47834992
 -10.4238635   -7.21583939 -12.73550139   0.20459565 -12.07273345
 -10.62918558 -11.76226483]",0.999984785915897,0.000412591464636,0.001238969989593,5.15762792693519E-06,0.692260987335821,175.603870868683
3,489,389,606.285322271862,466.285322271862,"[  3.63080764   9.66779262   3.29615292 -13.69924492   0.82497938
   0.14589974  -0.85804354  -7.82714303  -8.23800427 -10.0449544
  -1.32436401  -7.94645335 -11.67728537 -11.37658451  -0.95997873
 -11.01725657 -10.36092201 -10.40855134   0.44925837 -10.42750356
  -9.5822212  -12.78031834]",0.999984965036667,0.000390084457144,0.001219241406222,4.87629448682191E-06,0.699749239100579,159.243360519409
4,341,241,431.021333157536,291.021333157536,"[  0.76925504  13.06623207  -0.92692874 -10.70115156   1.73012056
   0.08778948   0.8071242   -8.16208979  -7.6167348  -13.62586056
  -0.87774604 -10.54817375  -5.36706652  -9.82236304  -0.09045299
  -6.80578026  -9.37767078 -12.51755383  -0.08599834  -9.08650706
  -7.84949039 -10.13742834]",0.999984088815083,0.000366747330797,0.001173298622412,4.58456762805385E-06,0.726030294287108,170.877851009369
5,401,301,495.928235215759,355.928235215758,"[  6.42205118  10.23970764  -1.12700059 -14.14229384   2.0688293
   0.5482751   -0.5103767   -9.5572561   -6.96858746  -8.43112836
   1.92802137 -10.10979235  -8.30606796  -7.37744058  -0.29308838
  -5.66228393 -10.58395001  -8.93274356  -0.13567526  -7.3166365
 -10.25355264 -10.69309638]",0.999985231845795,0.000396521574455,0.001229588540492,4.95675527271693E-06,0.694004734004523,150.953197240829
6,525,425,664.976913840377,524.976913840377,"[  2.6584605   11.51880951   2.00643218 -12.21440665  -4.3948716
   0.36472944   1.25519239 -11.33532146 -10.50272471 -11.69905624
  -0.72670255  -9.78047006 -12.76943017 -11.55339102  -1.17676589
  -8.5708899  -10.90158088 -10.00146444   0.72148174  -8.62246503
  -8.67134138 -11.63882849]",0.999985093429107,0.000365844044912,0.001138036694898,4.57326544680458E-06,0.743023588473926,159.608758687973
7,303,203,383.072031366107,243.072031366107,"[  1.39480984   9.26437663  -0.53370331 -11.52758815  -0.75027946
  -0.59811124  -1.38481581  -9.53037522  -9.93941552  -9.86999922
   1.37319468  -6.19585804 -13.60161543  -8.30235375  -0.99587026
  -9.3281995   -9.16356303  -8.86010077  -2.78942899 -10.64940918
  -8.09687341 -11.77154604]",0.999984285787671,0.000387161090556,0.001195033892684,4.83974258484631E-06,0.713684331103363,148.575310468674
8,339,239,441.655376008354,301.655376008354,"[  4.68526385   6.16132257   2.44190417  -9.03076987  -5.39632457
   1.50349093   0.3081686  -13.80484562  -9.71357533 -10.65316221
  -0.78204505 -13.1863314  -14.03668195 -11.14863296   0.03575141
  -7.30578478 -11.1932967   -7.62951934  -0.38028639  -8.64835035
  -8.98140358  -7.25255674]",0.999985108528918,0.000400268446861,0.001159581965231,5.00355858225993E-06,0.734134168281729,160.977806329727
9,482,382,602.632049833064,462.632049833064,"[  2.53975236   9.59901617  -0.08374156 -11.1413547   -2.12927304
   0.25592892  -1.52917116  -6.46586024 -10.98519866  -7.18573258
  -0.57408496 -11.72148458 -13.78696065 -11.66789225  -0.14403129
  -8.46730362 -15.11019218  -7.46501065  -0.64938626  -5.7562885
  -9.53422776  -9.92439518]",0.999983945748877,0.000401786224554,0.001228954075828,5.02256497893999E-06,0.696094677716662,143.164000749588
