,SOD,SOD Error,SDD,SDD Error,Rotating Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,105,5,136,4,"[-16. -13. -16. -15.   8.  -2.   9. -17. -17.  13.   9. -11.   8. -11.
  20.  17. -12.   2.  10.  -2. -14.   5.  18.  12.  11. -12.   6.   1.
   3.  -7.  -2. -19.  14.  20. -12.  12. -12. -20.  -3.   6.  12.  14.
  18.  15. -12. -13.   6. -11.]",0.9999820927461954,0.0006486328040611827,0.0018160781301865745,8.108247467048837e-06,0.478947908970394,71.19118857383728
1,242,142,298,158,"[  1.  -3. -17.  -1.  11. -20.   0. -10.   3. -10.  15.   3.  14.  -7.
   5. -16.   8.   1.  -9.   3. -12. -18.  -5.   2.  -4.   5. -17. -11.
  -1.  15. -16.  -4.   1.  -8.  15.   2. -12. -10.  20. -18.  -8. -18.
 -18. -15.  -1. -20. -16.  11.]",0.9999812757372131,0.0005131793344238152,0.0014968432674045847,6.415041177037103e-06,0.775117464059507,71.96937465667725
2,448,348,532,392,"[  1.   0.   8.  -1. -11.   5.  14.   5.  17. -14.   1. -18.   8.   6.
   4.  20.  15.   1. -10.  -9.  -8. -10.   4.  16.  20. -18.  -7.  -4.
   5. -18. -17.   3.   3.   7. -13.  -7.  -9. -10.  14. -20. -18.  -6.
   7.  14. -10. -10. -16.  11.]",0.9999821396512505,0.0005333583232843213,0.0016044709907118081,6.667310618333304e-06,0.645407609851342,77.35600709915161
3,430,330,489,349,"[ -5.  10.   7.   9.  11.  20.   9.  15.  -9.   6.  14.   0.  -9.  13.
 -20. -17.   9.  14.  11. -15.  13.   6.   6.  17. -20.   6.  12.  -5.
   1.  -4.  -8.  19. -17. -18.   5.  -2.  -6. -18.  10. -16.  20.  -9.
  20. -11.   0.  20. -10. -16.]",0.9999837079836343,0.0004993351564432184,0.0016041445277913558,6.242032024534997e-06,0.6587052654550062,79.7740797996521
4,545,445,751,611,"[ 12. -17.  18.   5.  18.  17.  -8.   4.  12.   5. -20.  11.  -7.  -8.
   7.  -7.  11. -10.  11. -12.  -4.  10.   0. -11.  17.   1.  -8.  -1.
  -2.   9.   2. -12. -14. -11.   3.  12.   7. -10.  17.   5.   6.  -5.
  10. -19.  -2.  -9. -17.  17.]",0.9999831954740729,0.0005380543233412836,0.0015157317013222416,6.725962810374853e-06,0.7773202900867437,79.91284132003784
5,473,373,670,530,"[-17. -20.  11. -12.  19.  18.   7.  -9.  17. -13. -20.  -1.   3. -14.
  11.  18.  10.   4. -17. -18.   6.  12. -17.  -4.   4.   3.   9.   2.
   6.  16. -16. -14.   5.  -3. -13. -13. -14.   3.  -8.  18.  -7.   5.
  -1. -20.  13.  10.  -5. -18.]",0.9999821626038872,0.0007011959743168619,0.0018871166301654722,8.76528534789884e-06,0.427240505388692,70.47670006752014
6,473,373,643,503,"[ 16.  -7.   8.  13.  -8. -18.  14.  19. -18.   2. -17.  17.   5. -11.
 -18.  10. -20.  -9.  -9.  13.  13.  17.  19.  -6. -17.  -4.  10. -18.
 -12. -14. -13.  18.  -5.  17. -17. -19.  -5.   7.  13.   5.   5.   8.
 -19.  -1.   3. -17.   1.   2.]",0.999983087233906,0.0005398065550252795,0.0015417385002938252,6.747850494948672e-06,0.7576864910987167,73.28882956504822
7,87,13,107,33,"[ -8.  16.  16. -13.  18.  17. -20. -14. -20. -17.   5.  -4.  -7.  -5.
  14. -12.  -3.  -7.   0.  19. -18.   2. -17.  -1.   8.  10.  -9. -18.
  18.  -7.  15.   5.  -1. -16. -11.  10.  -9. -13. -16.  -1. -15. -14.
 -11.  20. -15.  -8. -17. -15.]",0.9999849030607584,0.00048370925489709613,0.0015811100869348755,6.046700288736445e-06,0.6581143399907743,76.2213568687439
8,346,246,464,324,"[ 16.   8. -10. -19.   2.  -6. -20.  19.   9.  11.  19. -16. -20.  -5.
   3.  -6. -15.  11.  -6.  10.  13.   6. -19.  14. -19.  17.  -2. -13.
   3.  -9. -20.  13.  -6.  -4.  14. -17. -14.  -7. -13.   6.   0. -12.
  12.  -6.  14.  -2. -17.  16.]",0.9999827834965768,0.0005423581913217074,0.0015798351270893596,6.779745308715134e-06,0.7265395731878884,75.28310704231262
9,446,346,499,359,"[  4.  -2.  20.  -4.   9.   8.   5.   3.   2. -11.   4.  -1.  18. -10.
  20.  14.   7.  -1. -15. -18.   7.  -2. -10.   8.   9.  19. -20. -11.
   2.  -9.   2.  14.  -3. -20.  -2. -20. -15. -17.  14.   5.  -3.  -6.
  -5.   4.   3.  12.  -6. -12.]",0.9999823911214669,0.0006178903018331361,0.0018022415690805676,7.724029081654972e-06,0.3925416133256691,79.90451788902283
