,SOD,SOD Error,SDD,SDD Error,Rotating Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,371,271,468.2944904280241,328.2944904280241,"[ 2.93808587 10.76159944 -6.55445785 -2.58578197  2.13306853 -4.08401319
 -0.97081303 -1.51358604 -4.36736221  4.58653959 -3.43032198  2.32997253
  1.50417311 -0.41919829  1.98315896  4.18874745 -0.54834987 -1.25655451
 -2.99861345  6.55349292 -4.34052019 -7.02699198 -5.85068032 -4.55529715
  6.1338723  -6.87242792  0.3794965  -1.7819193   3.4505384  -1.01397484
 -5.02960614 -1.00371489 -1.22552274 -4.7782244  -7.01620105  4.59658004
  2.84084302 -3.8208683   1.76229645  1.4230544  -0.88230605  1.92020415
 -1.90242688  5.98820351 -7.0185651  -0.56166036 -0.16509071  0.81492961]",0.9999839899647069,0.00037799482298497524,0.001204122424594523,4.7251580227026685e-06,1.0033138808482447,64.22943830490112
1,342,242,454.5242365866893,314.5242365866893,"[ 4.65349216 -1.15383914 -0.35909401 -2.78889906  1.14251789 -6.40722408
  5.10808657 -3.16216564  1.96504625  4.26990695  2.97539028  6.25339633
  5.32836297  6.99472473  2.01707249  3.61663889  1.59732604  2.88138835
 -2.95991387 -1.70915541  7.48094084  1.47188488  0.8830623  -3.20860573
  1.29361561  4.99625222  4.43873398 -2.36629385 -3.47579678  3.30027988
  5.93779624  0.88924366 -1.8038016   0.82839466 -3.69999705  1.12676146
 -0.49922428 -0.62588143 -6.64072134 -2.40409195  2.91560652 -1.39302502
 -4.37690159 -2.23604393 -1.56415806  3.9343123  -9.48610587  0.10172362]",0.9999844494155292,0.00043183317757211626,0.001200737245323204,5.398119048163141e-06,1.0262843745501735,72.43365383148193
2,443,343,577.8436577973704,437.8436577973704,"[  1.58614025  11.28294565  -6.90694725  -2.71365149   0.33608412
   7.607532    -0.88014564   0.14945842  -4.7747893    3.16066634
  -3.84701988   0.39447701   1.19095256   0.88499094  11.07367355
   0.34424352   3.31026685   4.02385485   5.45464897   1.25740322
   0.14596412   0.41240154  -2.18185302   5.96895441  -0.40809107
  -0.6196197    0.43495002  -2.843918     2.40100524   9.09463097
  -0.43821407   0.73469735   6.97646193   0.06102057   8.15979366
   2.74511618   1.68655999   2.68051661   0.49855077  -3.42739644
   2.51434889 -10.14335147   2.87882587  -0.93541089  -1.44973125
  -5.3780326   -1.80741902  -4.60755529]",0.9999842377923478,0.0003739045771201038,0.0011663123810515786,4.67400481732425e-06,1.037792795126428,73.05267572402954
3,395,295,510.2775033036558,370.2775033036558,"[ 3.6059337  -1.88845132 -5.13946247 -7.17601994 -4.49052308 -6.48821401
  4.87901534  5.67347835  4.8725162  -5.67699739  4.46204382  5.02248314
 -0.14916281 -3.60858782 -2.1447      1.08287986  6.4628927   0.45997274
 -0.66858572  1.52890415 10.11159973 -5.40015876 -1.81626125 -6.44033312
  4.74049828 -2.22011136 11.80463802 -6.77543997  6.6525063   6.04659751
 -2.616863    3.83712105 -1.88930043  1.72760143 -3.74851623 -3.39467052
 -1.54194964  0.97016555 -5.84552094  1.96766775 -3.46502452 -4.03734312
 -3.92595638  5.03180769 -0.86642182 -3.90023352 -2.0135972  -1.37789799]",0.999983072530603,0.000471104641393241,0.0012873051767057155,5.889040595657138e-06,0.9658865660022206,73.01432061195374
4,425,325,543.5833136312191,403.5833136312191,"[ 5.23442574  4.09934512  3.62379396 -5.97887484 -2.96544904 -3.26805125
  3.9168454  -1.1918354  -7.19856813 -0.74727911 -0.79441649 -2.09709572
  0.65330158  0.8793809   6.63331205 -1.31373389 -6.05269109 -8.37808957
 -1.22000698  3.61949468 -7.80866849  2.87330911  6.26417795  0.85692688
  2.02926098  3.81654611 -1.33323196 -2.33936854 -1.11668606  7.62844257
  4.02576506 -0.01966459 -1.6568684  -4.89797951  1.06426786 -1.50304362
  0.18594787  3.46089045 -2.14452922  4.85632567 -1.45145492  5.53316852
  3.68557384  4.14163182 -1.28919686 -5.93666113  1.35561555 -1.00698144]",0.9999847925054434,0.0004275654403803249,0.0012369814269958827,5.344797718556301e-06,1.0057109427732736,72.96298694610596
5,410,310,535.9255807311084,395.9255807311084,"[ 4.72871117  5.87967665 -1.40457303  4.19158412  8.59222853 -0.22924342
 -1.7067613   2.25022224 -7.95836445 -3.26663683  0.76111875  7.52081416
 -4.80689726 -1.29400166  1.23519223  8.2606526  -3.0319105  -0.73298356
 -3.79344227  7.77121845 -0.66419705  1.63688434 -4.88286499 -2.76910505
  3.39777823  0.77779414  0.27531904  4.50518709  1.55060396  0.36954533
 -2.05641791 -7.67857412 -1.46513528 -2.13291251 -3.33292542  4.92154169
  6.35543247 -2.93971119 -2.8570798  -4.41011477  6.73072802  0.77784692
  0.47116483  2.69061173 -0.51167794  1.46341415 -0.47540739  3.45372016]",0.9999837699436229,0.0004212656026033478,0.0012373613838632725,5.266033694457769e-06,0.9987790764308521,72.93259692192078
6,378,278,485.8123878749491,345.8123878749491,"[  4.41365981   8.4389254   -1.87526009  -3.59474981   1.96692475
  -1.70650518  -5.75281531   1.4714036    1.58284207  -2.12848856
   0.89354788  -3.28875052   1.84507644  -4.43071849  -2.70626829
   4.65513449  -0.08781253   3.9899659    4.82333123  -3.83212803
  -1.01193884   5.38384809  -1.4311739   -3.74064284  -9.3256387
  -4.09180779  -2.88645451  -4.44522272   5.04428946   0.57335551
  -2.50265906  -0.68008758   7.3542473    1.38303201  -3.12621953
   3.03588848   0.83199397  -1.44587251   2.38111737 -11.08105741
  -1.83557806   1.42292193  -1.59349002   9.88643693   3.49016943
   5.11167968   1.01482572  -2.6235858 ]",0.9999845549520907,0.000374032388208434,0.0011464318100759675,4.6756101789630655e-06,1.0610364440420421,73.01694130897522
7,275,175,355.1698707975173,215.16987079751732,"[  2.19556438   6.68935263  -3.78223018  -2.10322713  -1.4280495
   7.52305325   3.11331826   0.45329699   0.59342501   4.07663996
   1.16903052  -3.62096039  -0.82453446   3.52796881   2.59504294
   1.66376784   6.94140267  -1.29083588  -1.10271652  -4.2226373
  -5.19589482   1.72263667  -2.53518357  -3.62523967   1.46528581
  -3.05132342   0.47036992  -6.67648394   3.51623658   0.64584873
  -0.23263586  -0.81303487   0.76803891  -4.67246536  -0.83628147
 -10.87809707   1.76636422  -1.89290559  -1.65496404  -2.99478457
  -0.88672372  -0.33096834   4.09606129  -7.4381496    1.33451966
  -2.94606003 -10.42407331  -4.83536934]",0.9999829985417305,0.00043894536793231964,0.0012816505059617402,5.487045744507577e-06,0.9568207148424036,72.91407895088196
8,301,201,419.13598796750153,279.13598796750153,"[ 3.95912388  4.54508459 -0.61287495 -5.62607094  0.13891834 13.48972193
  1.86416868  0.47640697  0.5772562  -6.69440668 -3.51633504 -1.93827469
 -3.42303622  0.83777465  3.11808135  4.10105372 -4.14977891 -2.87809796
 -2.24052317  0.69546628  8.63459428 -5.02226646  4.23122746 -5.53946405
  0.41606714  2.41493712 -8.3249521  -6.9537695   3.22385976  5.33991984
 -4.06577702 -2.8635067   3.92834065  2.01873593 -0.71154774 -0.13936529
 -1.683743    5.57764191 -2.80914674 -1.40308468  3.04435781  3.5512896
  7.06189922 -4.06040319 -5.7827836  -3.66711602  0.4524652  -0.93643055]",0.9999840708465544,0.00039705275493260054,0.0011361169945041571,4.9633311258026735e-06,1.0712440038363726,72.89247226715088
9,248,148,321.4969301459521,181.4969301459521,"[ 1.53614389  4.9436993  -5.52511974 -3.12554489 -0.89728042  1.47437831
  4.09512147  1.68149853  6.01249218 -3.79947971 -5.86783124  2.76308853
  1.55918849 -1.46171283 -7.44673254  0.23568867  1.46738884  2.72328841
  2.21655948 -1.50117238  4.72273235 -5.47623633 -2.26982916  6.74014083
  3.50293904 -0.07998963  2.58670412 -1.11638081 -3.22776147  8.69797539
  2.80911716  2.87643931 -1.44376261  2.86342846  1.88486256 -4.56688095
 -3.32801588  1.41835138 -3.4002354  -4.37579823 -0.20489532  6.91505752
  2.8008996  -3.84221337 -1.63513841 -1.61789552 -1.19709094  2.8495094 ]",0.9999825848459765,0.0004498311900533736,0.0013015908887801916,5.6231243631295266e-06,0.9401758267803342,72.89325022697449
